NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY		38	0.32444325	1.1335063	0.281106	0.45700747	1.0	2595	tags=21%, list=13%, signal=24%	
GOBP_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY	GOBP_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY		32	0.33299753	1.1330935	0.27666152	0.45771718	1.0	8178	tags=59%, list=41%, signal=101%	
GOBP_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	GOBP_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY		46	0.30942303	1.1330149	0.27403155	0.45766714	1.0	7687	tags=59%, list=39%, signal=96%	
GOBP_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY		37	0.32152295	1.1321787	0.26807228	0.45928234	1.0	5965	tags=41%, list=30%, signal=58%	
GOBP_TRNA_5_END_PROCESSING	GOBP_TRNA_5_END_PROCESSING		15	0.4070523	1.1320246	0.28	0.45939893	1.0	3683	tags=40%, list=19%, signal=49%	
GOBP_PSEUDOPODIUM_ORGANIZATION	GOBP_PSEUDOPODIUM_ORGANIZATION		17	0.39360687	1.1319553	0.3061889	0.45932156	1.0	4590	tags=41%, list=23%, signal=54%	
GOBP_RESPONSE_TO_STILBENOID	GOBP_RESPONSE_TO_STILBENOID		16	0.39770597	1.1314114	0.3207856	0.46028677	1.0	5282	tags=44%, list=27%, signal=60%	
GOBP_VACUOLAR_ACIDIFICATION	GOBP_VACUOLAR_ACIDIFICATION		26	0.3505124	1.1312237	0.2633997	0.46049175	1.0	3940	tags=35%, list=20%, signal=43%	
GOBP_LYMPH_NODE_DEVELOPMENT	GOBP_LYMPH_NODE_DEVELOPMENT		32	0.333928	1.1310334	0.2897474	0.46068516	1.0	363	tags=9%, list=2%, signal=10%	
GOBP_PIGMENT_GRANULE_LOCALIZATION	GOBP_PIGMENT_GRANULE_LOCALIZATION		20	0.37073085	1.1310093	0.30482116	0.46048582	1.0	5473	tags=35%, list=28%, signal=48%	
GOBP_DNA_TEMPLATED_DNA_REPLICATION	GOBP_DNA_TEMPLATED_DNA_REPLICATION		147	0.25324902	1.1310065	0.24133505	0.46024838	1.0	3627	tags=22%, list=18%, signal=27%	
GOBP_TRANS_SYNAPTIC_SIGNALING_MODULATING_SYNAPTIC_TRANSMISSION	GOBP_TRANS_SYNAPTIC_SIGNALING_MODULATING_SYNAPTIC_TRANSMISSION		24	0.36110678	1.130867	0.30513597	0.46032327	1.0	6323	tags=46%, list=32%, signal=67%	
GOBP_TETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_TETRAHYDROFOLATE_METABOLIC_PROCESS		20	0.37982658	1.1305419	0.29264477	0.46085352	1.0	2576	tags=20%, list=13%, signal=23%	
GOBP_DNA_REPAIR_DEPENDENT_CHROMATIN_REMODELING	GOBP_DNA_REPAIR_DEPENDENT_CHROMATIN_REMODELING		24	0.35830483	1.1305091	0.29827315	0.46068573	1.0	5282	tags=42%, list=27%, signal=57%	
