NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION	GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION	Details ...	493	-0.13943501	---	---	1.0	0.0	3697	tags=22%, list=19%, signal=26%	
GOBP_PYROPTOSIS	GOBP_PYROPTOSIS	Details ...	40	-0.5673037	-2.407821	0.0	0.0042888443	0.007	3457	tags=50%, list=17%, signal=60%	
GOBP_INTESTINAL_ABSORPTION	GOBP_INTESTINAL_ABSORPTION	Details ...	39	-0.5121455	-2.2109823	0.0	0.030986603	0.074	4884	tags=54%, list=25%, signal=71%	
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	Details ...	70	-0.4445507	-2.1361578	0.0	0.052646045	0.152	6409	tags=54%, list=32%, signal=80%	
GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	Details ...	26	-0.5609009	-2.083204	0.0	0.06860217	0.245	4618	tags=62%, list=23%, signal=80%	
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	Details ...	34	-0.50412023	-2.0392902	0.0	0.0866177	0.346	2498	tags=41%, list=13%, signal=47%	
GOBP_AMIDE_CATABOLIC_PROCESS	GOBP_AMIDE_CATABOLIC_PROCESS	Details ...	18	-0.58256143	-1.9766899	0.0	0.12224216	0.499	3509	tags=56%, list=18%, signal=67%	
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	Details ...	16	-0.6269887	-1.9560976	0.007575758	0.12818144	0.564	2160	tags=44%, list=11%, signal=49%	
GOBP_TRIGLYCERIDE_CATABOLIC_PROCESS	GOBP_TRIGLYCERIDE_CATABOLIC_PROCESS	Details ...	25	-0.50743514	-1.9435427	0.0043668123	0.12357064	0.589	3658	tags=48%, list=19%, signal=59%	
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	Details ...	30	-0.4797728	-1.893615	0.0049751243	0.16958883	0.745	3818	tags=50%, list=19%, signal=62%	
GOBP_TYPE_II_INTERFERON_MEDIATED_SIGNALING_PATHWAY	GOBP_TYPE_II_INTERFERON_MEDIATED_SIGNALING_PATHWAY	Details ...	22	-0.5326641	-1.8923372	0.007662835	0.1553912	0.748	5222	tags=59%, list=26%, signal=80%	
GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS	GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS	Details ...	37	-0.4615936	-1.891844	0.0	0.14287145	0.748	3658	tags=41%, list=19%, signal=50%	
