NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RESPONSE_TO_PHEROMONE	GOBP_RESPONSE_TO_PHEROMONE	Details ...	64	-0.5497305	-2.3249042	0.0	0.0022342613	0.004	4041	tags=41%, list=20%, signal=51%	
GOBP_BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS	Details ...	23	-0.6667431	-2.2241194	0.0	0.0055429447	0.019	4795	tags=57%, list=24%, signal=75%	
GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SMELL	GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SMELL	Details ...	195	-0.41744134	-2.180193	0.0	0.009201617	0.047	2913	tags=31%, list=15%, signal=36%	
GOBP_REGULATION_OF_APPETITE	GOBP_REGULATION_OF_APPETITE	Details ...	25	-0.6266789	-2.1482875	0.0024813896	0.012420532	0.082	4039	tags=52%, list=20%, signal=65%	
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	Details ...	471	-0.37459657	-2.1274493	0.0	0.013586588	0.113	3600	tags=32%, list=18%, signal=38%	
GOBP_URONIC_ACID_METABOLIC_PROCESS	GOBP_URONIC_ACID_METABOLIC_PROCESS	Details ...	17	-0.6681065	-2.1015356	0.0	0.016031783	0.159	4169	tags=65%, list=21%, signal=82%	
GOBP_DETECTION_OF_CHEMICAL_STIMULUS	GOBP_DETECTION_OF_CHEMICAL_STIMULUS	Details ...	244	-0.3772051	-2.002991	0.0	0.043764498	0.429	3402	tags=32%, list=17%, signal=38%	
GOBP_TRANSLATION_AT_SYNAPSE	GOBP_TRANSLATION_AT_SYNAPSE	Details ...	48	-0.47680065	-1.9294798	0.0	0.08683915	0.724	5954	tags=67%, list=30%, signal=95%	
GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS	GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS	Details ...	51	-0.46348715	-1.8861693	0.0	0.12112193	0.856	3188	tags=39%, list=16%, signal=47%	
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	Details ...	28	-0.51437634	-1.8575352	0.0024096386	0.14601442	0.934	4241	tags=46%, list=21%, signal=59%	
GOBP_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	GOBP_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	Details ...	21	-0.56564903	-1.8240553	0.006741573	0.18172893	0.978	5484	tags=67%, list=28%, signal=92%	
GOBP_REGULATION_OF_RESPONSE_TO_FOOD	GOBP_REGULATION_OF_RESPONSE_TO_FOOD	Details ...	22	-0.55217797	-1.8126132	0.0072289156	0.18521957	0.982	4039	tags=50%, list=20%, signal=63%	
GOBP_REGULATION_OF_RESPONSE_TO_NUTRIENT_LEVELS	GOBP_REGULATION_OF_RESPONSE_TO_NUTRIENT_LEVELS	Details ...	35	-0.4716638	-1.793206	0.0	0.20342664	0.993	4442	tags=49%, list=22%, signal=63%	
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	Details ...	96	-0.38136518	-1.7869967	0.0	0.19889584	0.994	4404	tags=40%, list=22%, signal=51%	
GOBP_HOMOLOGOUS_CHROMOSOME_SEGREGATION	GOBP_HOMOLOGOUS_CHROMOSOME_SEGREGATION	Details ...	65	-0.41820595	-1.7719035	0.0	0.21290776	0.998	3188	tags=38%, list=16%, signal=46%	
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	Details ...	30	-0.49931768	-1.7689797	0.0071770335	0.20454234	0.998	4543	tags=53%, list=23%, signal=69%	
GOBP_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE	GOBP_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE	Details ...	65	-0.40739927	-1.7689233	0.0024271845	0.19264051	0.998	3188	tags=38%, list=16%, signal=46%	
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	Details ...	44	-0.45013842	-1.7638683	0.0023255814	0.18889555	0.999	3787	tags=39%, list=19%, signal=48%	
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	Details ...	93	-0.38163194	-1.761432	0.0	0.18308131	0.999	3208	tags=39%, list=16%, signal=46%	
GOBP_SYNAPTONEMAL_COMPLEX_ORGANIZATION	GOBP_SYNAPTONEMAL_COMPLEX_ORGANIZATION	Details ...	25	-0.5034565	-1.7484088	0.0072815535	0.19471514	1.0	1806	tags=28%, list=9%, signal=31%	
GOBP_REGULATION_OF_BILE_ACID_METABOLIC_PROCESS	GOBP_REGULATION_OF_BILE_ACID_METABOLIC_PROCESS		17	-0.5493215	-1.7289196	0.0070422534	0.21761109	1.0	2708	tags=41%, list=14%, signal=48%	
GOBP_NEURON_FATE_SPECIFICATION	GOBP_NEURON_FATE_SPECIFICATION		33	-0.47563028	-1.7249389	0.007075472	0.2149626	1.0	4173	tags=52%, list=21%, signal=65%	
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS	GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS		131	-0.35423377	-1.7209675	0.00295858	0.21357329	1.0	4121	tags=40%, list=21%, signal=51%	
GOBP_NEGATIVE_REGULATION_OF_COAGULATION	GOBP_NEGATIVE_REGULATION_OF_COAGULATION		43	-0.43779457	-1.7181013	0.007317073	0.20972246	1.0	2856	tags=33%, list=14%, signal=38%	
GOBP_QUATERNARY_AMMONIUM_GROUP_TRANSPORT	GOBP_QUATERNARY_AMMONIUM_GROUP_TRANSPORT		16	-0.5636457	-1.7115088	0.013921114	0.21243197	1.0	5171	tags=63%, list=26%, signal=85%	
GOBP_XENOBIOTIC_METABOLIC_PROCESS	GOBP_XENOBIOTIC_METABOLIC_PROCESS		91	-0.37560025	-1.7112645	0.0	0.20481482	1.0	5339	tags=43%, list=27%, signal=58%	
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN	GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN		18	-0.54458964	-1.702435	0.021077283	0.2130504	1.0	5955	tags=78%, list=30%, signal=111%	
GOBP_DETECTION_OF_STIMULUS	GOBP_DETECTION_OF_STIMULUS		383	-0.30447456	-1.7001016	0.0	0.20905378	1.0	3245	tags=26%, list=16%, signal=31%	
GOBP_BILE_ACID_METABOLIC_PROCESS	GOBP_BILE_ACID_METABOLIC_PROCESS		44	-0.43500805	-1.6747677	0.0025510204	0.2460597	1.0	3985	tags=41%, list=20%, signal=51%	
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_OXIDATION	GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_OXIDATION		16	-0.5406559	-1.6674505	0.02117647	0.2520373	1.0	2709	tags=44%, list=14%, signal=51%	
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE		110	-0.3524748	-1.6666328	0.0	0.24537295	1.0	4285	tags=36%, list=22%, signal=46%	
GOBP_ARGININE_METABOLIC_PROCESS	GOBP_ARGININE_METABOLIC_PROCESS		18	-0.53422314	-1.6605474	0.014184397	0.24921034	1.0	4433	tags=44%, list=22%, signal=57%	
