NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_SYNAPSE	GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_SYNAPSE		33	0.40352872	1.4082828	0.060708262	0.1922798	1.0	4630	tags=42%, list=23%, signal=55%	
GOBP_STEROID_HORMONE_SECRETION	GOBP_STEROID_HORMONE_SECRETION		29	0.41844004	1.4071397	0.072413795	0.19359049	1.0	2438	tags=28%, list=12%, signal=31%	
GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES		48	0.368754	1.4071376	0.03780069	0.19336265	1.0	6993	tags=52%, list=35%, signal=80%	
GOBP_MULTIVESICULAR_BODY_SORTING_PATHWAY	GOBP_MULTIVESICULAR_BODY_SORTING_PATHWAY		35	0.39799115	1.4071084	0.07008547	0.19319487	1.0	2136	tags=23%, list=11%, signal=26%	
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION	GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION		43	0.3804979	1.4066668	0.049913943	0.19357438	1.0	5049	tags=40%, list=26%, signal=53%	
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY		72	0.34320727	1.4059192	0.048622366	0.19433308	1.0	4603	tags=40%, list=23%, signal=52%	
GOBP_RESPONSE_TO_ACTIVITY	GOBP_RESPONSE_TO_ACTIVITY		37	0.3871193	1.4041928	0.062394604	0.19639036	1.0	6687	tags=59%, list=34%, signal=90%	
GOBP_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS	GOBP_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS		22	0.44961053	1.4040476	0.081560284	0.19634832	1.0	5049	tags=50%, list=26%, signal=67%	
GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH	GOBP_REGULATION_OF_DEVELOPMENTAL_GROWTH		368	0.27216953	1.4038208	0.007032349	0.19642283	1.0	5822	tags=36%, list=29%, signal=51%	
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE		145	0.3025273	1.4026283	0.019402985	0.19778204	1.0	3505	tags=26%, list=18%, signal=32%	
