ID,Drug,Time_hr
1_S1,PBS,17
2_S2,PBS,17
3_S3,PBS,17
4_S4,PBS,17
5_S5,Vanco,17
6_S6,Vanco,17
7_S7,Vanco,17
8_S8,Vanco,17
9_S9,PBS,23
10_S10,PBS,23
11_S11,PBS,23
12_S12,PBS,23
13_S13,Vanco,23
14_S14,Vanco,23
15_S15,Vanco,23
16_S16,Vanco,23
17_S17,PBS,5
18_S18,PBS,5
19_S19,PBS,5
20_S20,PBS,5
21_S21,Vanco,5
22_S22,Vanco,5
23_S23,Vanco,5
24_S24,Vanco,5
25_S25,PBS,11
26_S26,PBS,11
27_S27,PBS,11
28_S28,PBS,11
30_S30,Vanco,11
29_S29,Vanco,11
31_S31,Vanco,11
32_S32,Vanco,11
