# Constructed from biom file
#OTU ID	A12	A2	A3	A6	A7	C10	C10-MUCUS	C11	C14	C17	C18	C3	C3-MUCUS	M13	M14	M18	N10	N11	N12	N7	V14	V16	V17	X4	X5	X7
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	128.0	258.0	0.0	15.0	3.0	197.0	21.0	801.0	271.0	901.0	266.0	146.0	7.0	99.0	504.0	394.0	459.0	137.0	107.0	456.0	18.0	914.0	64.0	23.0	469.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;__	986.0	0.0	0.0	0.0	0.0	7.0	0.0	15.0	0.0	0.0	0.0	38.0	32.0	655.0	728.0	1655.0	0.0	689.0	278.0	20.0	0.0	0.0	0.0	14.0	54.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale	28.0	196.0	12.0	9.0	0.0	92.0	0.0	414.0	339.0	226.0	371.0	273.0	0.0	76.0	585.0	100.0	665.0	126.0	82.0	416.0	0.0	32.0	0.0	16.0	533.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus_A_346120;__	0.0	0.0	0.0	0.0	0.0	0.0	4392.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A_871400;s__Alistipes_A_871400 sp002362235	0.0	0.0	0.0	0.0	0.0	3.0	20.0	0.0	5.0	0.0	0.0	3.0	0.0	8.0	14.0	17.0	0.0	0.0	5.0	0.0	1272.0	2571.0	13.0	0.0	24.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__UBA3263 sp001689615	82.0	314.0	0.0	19.0	0.0	205.0	122.0	780.0	266.0	907.0	174.0	364.0	4.0	59.0	70.0	209.0	379.0	135.0	69.0	718.0	0.0	0.0	0.0	61.0	487.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-552;g__;s__	22.0	7.0	4331.0	0.0	2610.0	4.0	0.0	5.0	0.0	13.0	3.0	0.0	0.0	38.0	37.0	40.0	0.0	29.0	22.0	0.0	0.0	19.0	0.0	7.0	11.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	279.0	318.0	0.0	11.0	0.0	205.0	117.0	763.0	126.0	660.0	414.0	570.0	6.0	229.0	316.0	451.0	556.0	283.0	162.0	209.0	0.0	856.0	0.0	36.0	101.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689565	0.0	142.0	0.0	0.0	0.0	157.0	0.0	531.0	164.0	413.0	185.0	368.0	3.0	11.0	149.0	43.0	256.0	27.0	31.0	166.0	0.0	0.0	0.0	7.0	91.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;__	31.0	686.0	0.0	0.0	0.0	0.0	1510.0	114.0	0.0	0.0	0.0	184.0	0.0	12.0	17.0	51.0	0.0	4.0	4.0	0.0	0.0	226.0	0.0	0.0	0.0	0.0
