Sample Name Full,% GC,? 30X,Coverage,% Aligned,M Aligned,Error rate,% Assigned,M Assigned,aligned,Sample Name
C16_S16_BAMqc,49%,0.30%,0.0X,,,,,,0,C16_S16_
C17-5_S11.sort,,,,75.50%,22,0.16%,20.90%,8.7,0.755,C17-5_S11
C17-5_S11_BAMqc,55%,0.00%,0.0X,,,,,,0,C17-5_S11_
C17_S17.sort,,,,97.00%,21,0.02%,63.30%,16.1,0.97,C17_S17
C17_S17_BAMqc,49%,0.30%,0.0X,,,,,,0,C17_S17_
C18-6_S8.sort,,,,73.40%,19.8,0.26%,17.60%,7.1,0.734,C18-6_S8
C18-6_S8_BAMqc,56%,0.00%,0.0X,,,,,,0,C18-6_S8_
C18_S18.sort,,,,97.20%,20.9,0.02%,61.70%,15.9,0.972,C18_S18
C18_S18_BAMqc,49%,0.30%,0.0X,,,,,,0,C18_S18_
C19_S19.sort,,,,97.00%,20.4,0.02%,64.10%,15.8,0.97,C19_S19
C19_S19_BAMqc,50%,0.30%,0.0X,,,,,,0,C19_S19_
C1_S1.sort,,,,96.40%,20.4,0.02%,64.30%,15.8,0.964,C1_S1
C1_S1_BAMqc,49%,0.30%,0.0X,,,,,,0,C1_S1_
C2-23_S13.sort,,,,73.40%,22,0.22%,18.20%,8,0.734,C2-23_S13
C2-23_S13_BAMqc,56%,0.00%,0.0X,,,,,,0,C2-23_S13_
C2-i14_S18.sort,,,,92.50%,22.9,0.04%,49.80%,15,0.925,C2-i14_S18
C2-i14_S18_BAMqc,49%,0.30%,0.0X,,,,,,0,C2-i14_S18_
C20_S20.sort,,,,96.80%,20.2,0.02%,63.50%,15.5,0.968,C20_S20
C20_S20_BAMqc,49%,0.30%,0.0X,,,,,,0,C20_S20_
C21_S21.sort,,,,97.10%,19.6,0.02%,64.20%,15.3,0.971,C21_S21
C21_S21_BAMqc,51%,0.30%,0.0X,,,,,,0,C21_S21_
C2_S2.sort,,,,96.90%,18.9,0.02%,61.80%,14.3,0.969,C2_S2
C2_S2_BAMqc,49%,0.30%,0.0X,,,,,,0,C2_S2_
C3-25_S3.sort,,,,74.70%,24.9,0.15%,20.30%,9.6,0.747,C3-25_S3
C3-25_S3_BAMqc,56%,0.00%,0.0X,,,,,,0,C3-25_S3_
C3-i15_S5.sort,,,,95.20%,26.3,0.03%,56.60%,18.8,0.952,C3-i15_S5
C3-i15_S5_BAMqc,49%,0.30%,0.0X,,,,,,0,C3-i15_S5_
C3_S3.sort,,,,96.90%,20,0.02%,64.50%,15.4,0.969,C3_S3
C3_S3_BAMqc,49%,0.30%,0.0X,,,,,,0,C3_S3_
C4-i16_S16.sort,,,,96.20%,26.3,0.03%,61.10%,19.8,0.962,C4-i16_S16
C4-i16_S16_BAMqc,49%,0.40%,0.0X,,,,,,0,C4-i16_S16_
C4_S4.sort,,,,96.30%,19.7,0.02%,64.30%,15.3,0.963,C4_S4
C4_S4_BAMqc,50%,0.30%,0.0X,,,,,,0,C4_S4_
C5-i18_S12.sort,,,,95.40%,26.7,0.03%,54.50%,18.2,0.954,C5-i18_S12
C5-i18_S12_BAMqc,48%,0.30%,0.0X,,,,,,0,C5-i18_S12_
C5_S5.sort,,,,96.50%,20.2,0.02%,63.70%,15.5,0.965,C5_S5
C5_S5_BAMqc,49%,0.30%,0.0X,,,,,,0,C5_S5_
C6-i19_S15.sort,,,,94.80%,26.8,0.04%,54.60%,18.2,0.948,C6-i19_S15
C6-i19_S15_BAMqc,48%,0.30%,0.0X,,,,,,0,C6-i19_S15_
C6_S6.sort,,,,96.60%,14,0.02%,63.00%,10.7,0.966,C6_S6
C6_S6_BAMqc,49%,0.20%,0.0X,,,,,,0,C6_S6_
C7-1_S2.sort,,,,72.70%,22.5,0.12%,19.10%,8.5,0.727,C7-1_S2
C7-1_S2_BAMqc,56%,0.00%,0.0X,,,,,,0,C7-1_S2_
C7_S7.sort,,,,96.40%,19.5,0.02%,62.70%,14.9,0.964,C7_S7
C7_S7_BAMqc,49%,0.30%,0.0X,,,,,,0,C7_S7_
C8-2_S6.sort,,,,74.40%,20.3,0.14%,20.60%,8,0.744,C8-2_S6
C8-2_S6_BAMqc,55%,0.00%,0.0X,,,,,,0,C8-2_S6_
C8_S8.sort,,,,96.60%,17.4,0.02%,61.80%,13.2,0.966,C8_S8
C8_S8_BAMqc,49%,0.30%,0.0X,,,,,,0,C8_S8_
C9-3_S1.sort,,,,75.90%,16.3,0.14%,16.10%,5.4,0.759,C9-3_S1
C9-3_S1_BAMqc,55%,0.00%,0.0X,,,,,,0,C9-3_S1_
C9_S9.sort,,,,96.90%,18.3,0.02%,62.50%,14,0.969,C9_S9
C9_S9_BAMqc,49%,0.30%,0.0X,,,,,,0,C9_S9_
M10_S10.sort,,,,95.40%,23.6,0.02%,58.30%,17.2,0.954,M10_S10
M10_S10_BAMqc,49%,0.30%,0.0X,,,,,,0,M10_S10_
M11_S11.sort,,,,77.90%,8.1,0.08%,23.00%,3.4,0.779,M11_S11
M11_S11_BAMqc,48%,0.00%,0.0X,,,,,,0,M11_S11_
M12_S12.sort,,,,88.80%,17.9,0.03%,46.70%,11.6,0.888,M12_S12
M12_S12_BAMqc,50%,0.20%,0.0X,,,,,,0,M12_S12_
M13_S13.sort,,,,92.80%,21.9,0.02%,57.50%,15.9,0.928,M13_S13
